Country,Segment,Date,Snapshot Date,Metric,Value
Spain,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.008153192
Spain,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.035780271
Sweden,Corporates,2022-03,31/03/2022,Default Rate,0.001288118
Sweden,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Sweden,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.001704774
Sweden,Retail,2022-03,31/03/2022,Default Rate,0.001166705
Sweden,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.000785897
Sweden,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.009020027
Sweden,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.005910365
United Kingdom,Corporates,2022-03,31/03/2022,Default Rate,0.011961207
United Kingdom,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,0.022084799
United Kingdom,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.085760725
United Kingdom,Retail,2022-03,31/03/2022,Default Rate,0.02984066
United Kingdom,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.031271605
United Kingdom,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.012290648
United Kingdom,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.015673949
Australia,Corporates,2022-03,31/03/2022,Default Rate,0.002405744
Australia,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Australia,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,
Australia,Retail,2022-03,31/03/2022,Default Rate,0.007744978
Australia,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.007369074
Australia,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.007030216
Australia,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.020471156
Canada,Corporates,2022-03,31/03/2022,Default Rate,
Canada,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Canada,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,
Canada,Retail,2022-03,31/03/2022,Default Rate,0.01438405
Canada,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.020233798
Canada,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.008312023
Canada,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.016009721
China,Corporates,2022-03,31/03/2022,Default Rate,
China,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
China,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,
China,Retail,2022-03,31/03/2022,Default Rate,0.007174716
China,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.001951548
China,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.011993158
China,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.010066893
Hong Kong,Corporates,2022-03,31/03/2022,Default Rate,0.025188479
Hong Kong,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Hong Kong,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,
Hong Kong,Retail,2022-03,31/03/2022,Default Rate,0.001473673
Hong Kong,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,
Hong Kong,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,
Hong Kong,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.002154761
India,Corporates,2022-03,31/03/2022,Default Rate,
India,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
India,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,
India,Retail,2022-03,31/03/2022,Default Rate,0.009328297
India,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.006735638
India,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.039034738
India,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.010876451
"Korea, Republic Of",Corporates,2022-03,31/03/2022,Default Rate,
"Korea, Republic Of",Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
"Korea, Republic Of",Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,
"Korea, Republic Of",Retail,2022-03,31/03/2022,Default Rate,0.006120537
"Korea, Republic Of",Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,
"Korea, Republic Of",Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,
"Korea, Republic Of",Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.005959509
Russian Federation,Corporates,2022-03,31/03/2022,Default Rate,0.031401002
Russian Federation,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Russian Federation,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,
Russian Federation,Retail,2022-03,31/03/2022,Default Rate,0.100314769
Russian Federation,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.144123294
Russian Federation,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.021348411
Russian Federation,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.044209534
Singapore,Corporates,2022-03,31/03/2022,Default Rate,0.014041202
